Proposta;Ano da proposta;IBGE;UF;Município;Nome da unidade;Componente;Porte;Situação no SISMOB;Data do repasse;Execução física (%) SISMOB;Data prevista de conclusão SISMOB;Dias sem monitoramento SISMOB;Data do último contato equipe PAC;Situação equipe PAC;Prioridade de contato;Ações;Quem fez o contato?;Data do contato;Execução informada pelo ente (%);Data/Previsão de conclusão informada pelo ente;Data/Previsão de inauguração informada pelo ente;Observações e problemas
17698753000124001;2024;250030;PB;Alagoa Grande;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;04/11/2025;0;;30;;Em início de execução;Média;;;;;;;
17698753000125004;2025;250030;PB;Alagoa Grande;Ubs Xi Centro;Unidade Básica de Saúde;I;Em início de execução;;0;;30;;Em início de execução;Baixa;;;;;;;
08448753000125001;2025;250053;PB;Alcantil;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;08/04/2026;0;;23;;Em início de execução;Baixa;;Bartolomeu Lima;09/09/2026;;;;
13876013000124001;2024;250120;PB;Areial;Ubs Iv;Unidade Básica de Saúde;I;Em início de execução;02/06/2025;99;25/08/2026;1;;Em execução, conclusão atrasada;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
• Pedir superação de etapa 'Início de execução'
";Bartolomeu Lima;01/09/2026;100;25/12/2026;25/12/2025;O credenciamento em tramitação o e-Gestor
10819820000124003;2024;250130;PB;Aroeiras;Construção de Ubs - Comidade Bastista;Unidade Básica de Saúde;I;Em início de execução;16/10/2025;0;;119;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;09/09/2026;34;;;
10819820000124004;2024;250130;PB;Aroeiras;Consturção de Ubs - Pedra D' Àgua;Unidade Básica de Saúde;I;Em início de execução;16/10/2025;0;;24;;Em início de execução;Média;;;;;;;Tramitação no E- Gestor desde ano passado
18730452000125002;2025;250150;PB;Bananeiras;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em início de execução;06/04/2026;0;;34;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
18730452000125003;2025;250150;PB;Bananeiras;Centro de Atenção Psicossocial;Centro de Atenção Psicossocial;I;Em início de execução;01/04/2026;0;;34;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
11685421000125002;2025;250180;PB;Bayeux;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;12/06/2026;0;;57;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
11494230000124001;2024;250240;PB;Bonito de Santa Fé;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em execução e conclusão;12/08/2025;30;15/04/2027;87;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
12452534000125003;2025;250280;PB;Brejo do Cruz;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;12/06/2026;0;;51;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
10975044000124001;2024;250300;PB;Caaporã;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;09/06/2025;30;30/12/2026;199;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;09/08/2026;70;;;
11309134000124001;2024;250310;PB;Cabaceiras;Ubsf Iii Assentamento Serra do Monte;Unidade Básica de Saúde;I;Em execução e conclusão;01/04/2025;30;30/08/2026;290;;Em execução e conclusão;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;01/09/2026;;;;
04849697000124002;2024;250320;PB;Cabedelo;Ubs Stephanie Palhano;Unidade Básica de Saúde;II;Em execução e conclusão;16/09/2025;69;18/06/2027;0;;Em execução e conclusão;Média;;;;;;;
12011663000125001;2025;250350;PB;Cacimba de Dentro;Caps I;Centro de Atenção Psicossocial;I;Em ação preparatória;;0;;20;;Ordem de serviço emitida;Baixa;;;;;;;
24513574000124003;2024;250400;PB;Campina Grande;Ubs Jardim Tavares;Unidade Básica de Saúde;II;Em execução e conclusão;08/07/2025;31;31/01/2027;43;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;09/09/2026;40;;;
24513574000124001;2024;250400;PB;Campina Grande;Construção do Caps Aluízio Campos;Centro de Atenção Psicossocial;II;Em execução e conclusão;02/07/2025;31;30/07/2026;8;;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
";Bartolomeu Lima;09/09/2026;;;;
24513574000124002;2024;250400;PB;Campina Grande;Ubs Velame;Unidade Básica de Saúde;III;Em execução e conclusão;08/07/2025;40;04/11/2026;8;;Em execução e conclusão;Alta;;Bartolomeu Lima;09/09/2026;40;;;
12431437000124007;2024;250415;PB;Casserengue;Psf Iv Manoel Bento da Silva;Unidade Básica de Saúde;I;Em execução e conclusão;02/06/2025;65;30/06/2026;1;;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
";Bartolomeu Lima;01/09/2026;;;;
12431437000125003;2025;250415;PB;Casserengue;Unidade Básica de Saúde Iii - Cinco Lagoas;Unidade Básica de Saúde;I;Em início de execução;19/06/2026;0;22/05/2027;30;;Em início de execução;Baixa;;;;;;;
11570107000125003;2025;250460;PB;Conde;Ubs;Unidade Básica de Saúde;I;Em início de execução;19/06/2026;0;;8;;Em início de execução;Baixa;;;;;;;
11161210000125004;2025;250480;PB;Coremas;Caps I Coremas;Centro de Atenção Psicossocial;I;Em início de execução;22/06/2026;0;;3;;Em início de execução;Baixa;;;;;;;
11404674000124001;2024;250510;PB;Cuité;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;16/10/2025;30;20/11/2026;37;;Em execução e conclusão;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
11404674000124002;2024;250510;PB;Cuité;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;16/09/2025;30;10/12/2026;37;;Em execução e conclusão;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
10493355000125003;2025;250540;PB;Desterro;Ubs Beira Rio;Unidade Básica de Saúde;I;Em execução e conclusão;24/02/2026;37;17/11/2026;23;;Em execução e conclusão;Média;;;;;;;
11420456000125001;2025;250570;PB;Dona Inês;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;08/04/2026;11;31/12/2027;7;;Em início de execução;Baixa;;;;;;;
03609595000123021;2023;250600;PB;Esperança;Centro Especializado Em Reabilitação;Centro Especializado em Reabilitação;Física e Intelectual;Em execução e conclusão;22/07/2025;61;30/11/2026;38;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;10/09/2026;;;;
11307940000125002;2025;250610;PB;Fagundes;Construção de Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;12/06/2026;0;;90;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;;;;;;
13844779000125003;2025;250630;PB;Guarabira;Unidade Básica de Saúde;Unidade Básica de Saúde;II;Em início de execução;08/04/2026;0;;52;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;;;;;;
11739873000124001;2024;250640;PB;Gurinhém;Construção de Ubs - Fazenda Santa Maria;Unidade Básica de Saúde;I;Em início de execução;02/05/2025;15;31/12/2026;197;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;10/09/2026;;;;
08892967000124001;2024;250660;PB;Ibiara;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;20/06/2025;30;28/02/2027;29;;Em execução e conclusão;Alta;;Bartolomeu Lima;10/09/2026;;;;
03609595000123016;2023;250690;PB;Itabaiana;Centro Especializado Em Reabilitação;Centro Especializado em Reabilitação;Física e Intelectual;Em execução e conclusão;01/08/2025;55;30/10/2026;38;;Em execução e conclusão;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;01/09/2026;;;;
03609595000124003;2024;250690;PB;Itabaiana;Centro de Parto Normal;Centro de Parto Normal;Peri-hospitalar;Em execução e conclusão;27/06/2025;71;01/06/2026;38;46198;Em execução, conclusão atrasada;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;01/09/2026;;;;
07615929000125009;2025;250690;PB;Itabaiana;Ubs Sítio Novo;Unidade Básica de Saúde;I;Em início de execução;19/06/2026;0;;52;;Em início de execução;Média;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;01/09/2026;;;;
11174552000124001;2024;250700;PB;Itaporanga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;02/06/2025;96;30/05/2026;7;46195;Em execução, conclusão atrasada;Alta;"• Comprar equipamentos
• Informar data em que MS possa fazer entrega simbólica ou inauguração
";Bartolomeu Lima;01/09/2026;;;;
11174552000125011;2025;250700;PB;Itaporanga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;10/04/2026;26;30/08/2027;6;;Em início de execução;Baixa;;;;;;;
12306005000124001;2024;250720;PB;Itatuba;Ubsf Vi Josenalva Arruda de Brito;Unidade Básica de Saúde;I;Em início de execução;11/12/2025;0;;378;;Em início de execução;Alta;• Atualizar SISMOB 1 vez por mês;Bartolomeu Lima;10/09/2026;;;;
10486210000124001;2024;250730;PB;Jacaraú;Unidade de Saude da Familia Maria Auxiliadora dos S Gomes;Unidade Básica de Saúde;I;Em execução e conclusão;20/06/2025;70;30/08/2026;67;;Em execução e conclusão;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;01/09/2026;;;;
08715618000124002;2024;250750;PB;João Pessoa;Capsad Iii;Centro de Atenção Psicossocial;ad III;Em início de execução;02/02/2026;12;15/09/2026;71;;Em início de execução;Alta;"• Atualizar data de conclusão
• Atualizar SISMOB 1 vez por mês";Bartolomeu Lima;10/09/2026;;;;
08715618000124005;2024;250750;PB;João Pessoa;Ubs Bessa;Unidade Básica de Saúde;III;Em ação preparatória;;0;;10;;Edital de licitação publicado;Baixa;;;;;;;
08715618000124004;2024;250750;PB;João Pessoa;Ubs Bairro dos Estados;Unidade Básica de Saúde;III;Em ação preparatória;;0;;10;;Edital de licitação publicado;Baixa;;;;;;;
11277311000124001;2024;250770;PB;Juazeirinho;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;13/03/2025;48;30/09/2026;27;;Em execução e conclusão;Alta;"• Atualizar data de conclusão
";Bartolomeu Lima;10/09/2026;;;;
11164805000124001;2024;250790;PB;Juripiranga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em execução e conclusão;09/06/2025;38;30/12/2026;10;;Em execução e conclusão;Alta;;Bartolomeu Lima;10/09/2026;;;;
11164805000125002;2025;250790;PB;Juripiranga;Unidade Básica de Saúde;Unidade Básica de Saúde;I;Em início de execução;24/04/2026;5;30/05/2027;10;;Em início de execução;Baixa;;;;;;;
12319873000124002;2024;250810;PB;Lagoa;Construção de Unidade Básica  de Saúde;Unidade Básica de Saúde;I;Em início de execução;02/09/2025;21;31/12/2026;16;;Em início de execução;Alta;;Bartolomeu Lima;10/09/2026;;;;
